timestamp,T_z,T_w,Q_hvac_W,Q_cw_W,P_elec_W,Q_int_W,T_oa_C,I_sol_Wm2,Q_cw_meas_W,T_z_meas_C,sigma_cw_W,cw_dropout,Tz_dropout,cw_bias_W,split
2023-07-01 00:00:00,23.5,23.784770965576172,100000.0,100000.0,32571.428571428572,10000.037,24.56954,0.0,104098.67305556426,23.356719312000045,3605.5512754639894,False,False,3000.0,train
2023-07-01 01:00:00,23.066267256916056,23.764207891536152,13253.451383211257,13253.451383211257,7786.700395203216,10000.165,23.512894,8.837979,14132.779050495254,22.826466317618564,2039.1391752919735,False,False,3000.0,train
2023-07-01 02:00:00,23.060779606903004,23.741388792636823,12155.921380600887,12155.921380600887,7473.120394457396,10000.74,23.222502,4.024513,16681.570349181347,23.163573766661447,2032.9755980213376,False,False,3000.0,train
2023-07-01 03:00:00,23.05405721494647,23.712270680005144,10811.442989294306,10811.442989294306,7088.983711226945,10003.316,22.803848,0.0,15717.148401555583,23.401447930716138,2026.1289617296538,False,False,3000.0,train
2023-07-01 04:00:00,23.053611619522894,23.683310869323275,10722.323904578701,10722.323904578701,7063.521115593914,10014.836,22.752066,4.7705226,9770.10666565669,22.998377739887744,2025.7026946033393,False,False,3000.0,train
2023-07-01 05:00:00,23.067767858174815,23.666708931118603,13553.571634962935,13553.571634962935,7872.449038560839,10065.922,23.710373,14.29776,13895.935434479956,22.686393110201095,2040.9138574809238,False,False,3000.0,train
2023-07-01 06:00:00,23.084948623418743,23.655958451794106,16989.72468374862,16989.72468374862,8854.207052499605,10284.556,25.040848,0.0,20253.57766508393,22.760136576732698,2063.924821873757,False,False,3000.0,train
2023-07-01 07:00:00,23.12715703132144,23.727919941473726,25431.40626428766,25431.40626428766,11266.11607551076,11094.553,26.14072,146.27933,27754.463840328357,23.2455368577326,2140.579543516504,False,False,3000.0,train
2023-07-01 08:00:00,23.19115250614061,24.02800688447585,38230.50122812219,38230.50122812219,14923.000350892054,13000.0,26.927479,404.1861,41191.76585396565,23.74438743015889,2305.5181850807658,False,False,3000.0,train
2023-07-01 09:00:00,23.26324190826465,24.597804900726864,52648.38165293,52648.38165293,19042.39475798,14905.445,28.25572,643.2045,53474.43022734859,23.38135940805897,2548.4636316034253,False,False,3000.0,train
2023-07-01 10:00:00,23.338400848612032,25.41405484851634,67680.16972240644,67680.16972240644,23337.191349258985,15715.437,30.065493,874.8429,73186.46086811405,23.222331883416658,2850.007866004648,False,False,3000.0,train
2023-07-01 11:00:00,23.401585616209804,26.42565843767075,80317.12324196078,80317.12324196078,26947.74949770308,15934.041,31.778418,1040.0522,85752.71212276955,23.63144080626489,3131.4144180031303,False,False,3000.0,train
2023-07-01 12:00:00,23.427965207035747,27.518903927681762,85593.04140714943,85593.04140714943,28455.15468775698,15984.999,32.074516,1092.3995,88807.9563852218,23.356115616359723,3254.7737038991504,False,False,3000.0,train
2023-07-01 13:00:00,23.468549349685713,28.614714208659368,93709.86993714255,93709.86993714255,30774.2485534693,15995.943,33.870525,1120.5754,100598.99680216178,23.35506378447645,3450.128367361504,False,False,3000.0,train
2023-07-01 14:00:00,23.458193180890657,29.592260702051753,91638.63617813135,91638.63617813135,30182.4674794661,15995.943,34.05908,957.17,96228.02188492082,23.170655449182078,3399.6875851361888,False,False,3000.0,train
2023-07-01 15:00:00,23.440210009743932,30.327428642465986,88042.00194878646,88042.00194878646,29154.857699653276,15984.999,34.468983,759.4471,88195.12896896817,23.86274466301784,3313.04311720133,False,False,3000.0,train
2023-07-01 16:00:00,23.40224175666611,30.77635643490322,80448.35133322224,80448.35133322224,26985.243238063496,15934.041,34.33974,499.50357,84604.18026999009,22.64047938141741,3134.4446890972895,False,False,3000.0,train
2023-07-01 17:00:00,23.35480563412506,30.916624893172365,70961.12682501215,70961.12682501215,24274.607664289186,15715.437,33.83152,243.41766,71160.28124189573,23.59416339420884,2920.947340889238,False,False,3000.0,train
2023-07-01 18:00:00,23.30715522125845,30.790622109545758,61431.044251690284,61431.044251690284,21551.726929054366,14905.445,33.16918,37.973625,66820.10542404819,23.16803173991919,2719.631570280764,False,False,3000.0,train
2023-07-01 19:00:00,23.274413708644456,30.53003242742856,54882.741728891204,54882.741728891204,19680.78335111177,13000.0,32.178894,0.0,57753.40659860086,23.15131148920897,2590.5412186861954,False,False,3000.0,train
2023-07-01 20:00:00,23.238640971741294,30.260402358882704,47728.19434825877,47728.19434825877,17636.626956645363,11094.553,30.263388,18.646471,50273.48619837714,23.746335518576636,2459.71186974626,False,False,3000.0,train
2023-07-01 21:00:00,23.219301999018345,30.00795008994273,43860.399803669025,43860.399803669025,16531.542801048294,10284.556,29.308474,27.315807,45230.23666849072,23.00506267135833,2394.026149365107,False,False,3000.0,train
2023-07-01 22:00:00,23.179829635510444,29.747611502048688,35965.92710208881,35965.92710208881,14275.979172025374,10065.922,26.942896,4.8423853,41744.135313378814,22.97580888930192,2272.4861102065047,False,False,3000.0,train
2023-07-01 23:00:00,23.160276043979604,29.47224523730978,32055.20879592072,32055.20879592072,13158.631084548777,10014.836,25.902493,0.0,34712.27926268814,23.121157772303743,2219.1851589840503,False,False,3000.0,train
2023-07-02 00:00:00,23.143289662056503,29.199618006979193,28657.932411300637,28657.932411300637,12187.98068894304,10000.037,24.906174,0.0,30725.480412756813,23.267443877800176,2176.958745838241,False,False,3000.0,train
2023-07-02 01:00:00,23.129814897871057,28.956286365602683,25962.97957421143,25962.97957421143,11417.994164060408,10000.165,23.628878,44.411087,28207.190003714742,22.997258163183197,2146.315139380475,False,False,3000.0,train
2023-07-02 02:00:00,23.108508852902634,28.719494505233047,21701.77058052687,21701.77058052687,10200.505880150535,10000.74,22.694471,6.247169,25821.3763983407,22.63635117374187,2103.299826866545,False,False,3000.0,train
2023-07-02 03:00:00,23.10026626714524,28.464712494143225,20053.253429048113,20053.253429048113,9729.500979728033,10003.316,22.418736,0.0,23816.491006280852,22.84055681288071,2088.520930175388,False,False,3000.0,train
